country,age,gender,O_score,C_score,E_score,A_score,N_score,N_proxy,J_proxy,T_proxy,Impulsivity_Index,Emotional_Reactivity,Creative_Divergence,Social_Adaptability,cluster_kmeans,cluster_gmm,cluster_best
US,53,1,4.1,4.3,4.4,4.4,2.3,1.2117725470706298,1.5872601516939873,0.48488719403906866,-3.971298189067171,-2.692780919181108,0.7551265591250794,2.8348375323768122,1,0,2
US,46,2,3.2,4.0,2.2,3.3,2.9,-1.0907552171126629,0.8369515817843816,0.9679846506109054,-1.9242584490954067,-0.5377980075923106,-1.4222297855109562,-0.9700321376742285,0,2,0
PK,14,2,3.7,4.5,3.5,3.4,3.4,0.21365611396176504,1.4882030333614369,1.3613478862024204,-1.3746643664454994,0.7307850364376393,-0.31536713780885245,0.1258963812365173,1,0,2
RO,19,2,3.9,2.6,2.2,3.5,3.1,0.1450564336327358,-0.8206027754175087,-0.4653318234730651,0.7622935675945571,-0.11333964358726227,0.7748904469748636,-0.9556209386305671,0,1,1
US,25,2,3.8,3.4,3.4,4.0,2.8,0.357763041389195,0.33894725638226664,-0.0710460650796157,-1.263329020741013,-1.1649014576294954,0.27601254927606755,1.0117231405000968,1,0,2
US,31,2,3.1,3.1,1.6,3.2,2.8,-1.4619253032934785,-0.3076427465186736,0.2046142574748902,-0.8008200738103881,-0.7500271895948348,-1.3969308766883772,-1.6259896193485863,0,2,0
US,20,2,3.9,2.8,4.6,4.3,2.7,0.9235586922157686,-0.29734849169806865,-0.8334939354136961,-0.602399592386618,-1.5845677736493484,0.7132225873841137,2.647749861978871,1,1,2
IN,23,1,3.8,4.0,3.9,3.9,2.7,0.519951011927327,1.0443887158017118,0.5531103825762447,-2.4524353801091188,-1.3771306396320182,0.09100897050381751,1.5451441094387053,1,0,2
US,39,2,3.7,4.1,4.5,4.5,2.9,0.5380320550380288,1.3751615690005419,0.23073790392770865,-2.078428098072281,-1.1601094096443014,-0.1920314186273523,2.5540357473304454,1,0,2
US,18,2,3.9,3.8,1.5,3.5,3.5,-0.08200672512064883,0.6594258547604914,0.6446896491604348,-0.03138835810051721,0.9430142184401633,0.40488328943036356,-2.0294042930834104,0,0,0
IT,17,2,3.4,2.4,1.3,4.1,3.2,-1.0296045210111866,-0.8598370797631787,-1.0652096702799758,1.3347213310551642,-0.16040687910640083,-0.42447399011336523,-1.48938246646809,0,2,1
IN,15,1,3.4,2.8,3.0,3.3,2.2,-0.47816542118153843,-0.6430770483936192,-0.142036822022595,-1.9228419199209004,-2.386417266140305,-0.5478097092948652,0.44955614942687316,1,2,2
US,22,2,3.5,3.7,3.4,4.2,2.9,-0.17187052321597576,0.7781001252658772,0.06816788040053934,-1.461749502164782,-1.004531559131304,-0.5731086181174444,1.1053608791958154,1,0,2
US,21,2,3.7,4.1,1.7,3.1,3.8,-0.3702205799755097,0.8911415896267711,1.19877786267525,0.2983680914894269,1.9427167489780626,-0.1920314186273523,-2.3965618413509557,0,2,0
US,28,2,3.6,3.8,2.6,4.0,2.9,-0.2548267545419295,0.8322901331082667,0.2989610924648843,-1.6159191511416564,-0.9008129921226387,-0.3517360885770233,0.06749409131133674,1,0,2
US,21,1,4.1,3.8,2.8,2.1,2.5,0.6927710413486076,0.1754058753867207,1.6127296079079763,-2.672273013169082,-0.9718404675677452,0.9092962081019544,-1.041559767000125,1,0,2
FR,19,2,4.1,3.2,2.0,2.1,2.9,0.4332702884875967,-0.5646084397022791,1.0577188715912267,-0.6909012572804066,0.08451339445968031,1.0942997868742044,-2.2234684351450555,0,1,0
US,21,2,3.3,3.0,4.6,4.2,3.8,-0.1357084369945737,-0.0852499090046232,-0.579344645302336,1.9942342302350518,1.3722646304304043,-0.8616840282214113,1.6898257866323576,0,2,1
GB,26,2,3.9,4.4,2.0,3.6,3.2,0.08018124541748306,1.4340130255190473,1.1305546741380752,-1.7486716484823372,0.09888953841526181,0.21987971065811335,-1.1646659664929122,1,0,2
US,26,2,3.8,3.5,2.8,3.3,3.3,0.16313747674343676,0.22027298587688138,0.5054757036802804,-0.09705634218360576,0.5185558544351152,0.24517861948069253,-0.638186414129929,0,0,0
LT,19,2,3.9,2.4,2.1,3.8,3.2,0.11261883952510943,-0.9635556467718438,-0.8577725362626456,1.3347213310551642,-0.0048290285934032146,0.8365583065656137,-0.8836763744530494,0,1,1
US,29,2,4.1,3.9,3.2,3.6,3.0,0.8225214177791131,0.8173344296115467,0.6680457272074498,-1.5060003346116748,-0.4292873925984516,0.8784622783065794,0.29129087711625684,1,0,2
US,29,2,3.7,4.0,2.1,3.9,3.4,-0.24047020354500415,1.0443887158017118,0.5531103825762447,-0.6038161215611243,0.4714886189159764,-0.16119748883197738,-0.9556973145832752,1,0,0
CA,21,1,4.0,3.1,3.3,3.9,2.8,0.6784144903516831,-0.0656327568317883,-0.2794057218988804,-0.8008200738103881,-1.1130421741251628,0.8729272573337845,0.8171656876341211,1,1,2
US,52,2,3.4,2.3,2.7,3.7,3.0,-0.5754782035044175,-1.1214642216228987,-0.8811286143096608,0.9607140490183259,-0.4811466761027842,-0.3936400603179902,-0.16290355217029506,0,2,1
GR,19,2,3.5,3.3,2.3,3.7,3.1,-0.5286840583998659,0.1118929701921014,0.04388927955158942,-0.31689397524356766,-0.21705821059592753,-0.44977289893594424,-0.6746313465907041,0,2,0
US,48,1,3.8,2.0,4.4,3.3,3.0,0.6821389824654589,-1.6297628018456192,-0.882051137111595,1.4232229959489509,-0.2737095420854537,0.7076875664113177,1.3294982238996487,0,1,1
US,22,1,3.3,3.2,2.8,3.6,3.2,-0.7195851309318484,-0.04601560465895327,0.020533201504574904,0.10136413924016355,0.09888953841526181,-0.9233518878121614,-0.2996634569562092,0,2,0
US,17,2,3.5,2.4,2.2,3.9,3.5,-0.5611216525074922,-0.9289827911022887,-0.9269182476017558,2.126986727575733,0.7355770844228331,-0.17226753077756923,-0.9267985405432443,0,2,1
DK,37,1,3.6,3.5,3.1,3.6,2.7,-0.0926387840037976,0.32399155288554665,0.29803856966294984,-1.6815871352247436,-1.2215527891190205,-0.2592342991908983,0.42084518238033947,1,0,2
US,19,2,3.2,2.5,2.7,3.8,3.2,-0.928567246574531,-0.8402199275903438,-0.7652707468765205,1.180551682078289,-0.0048290285934032146,-0.9597208385803311,-0.2349244923005217,0,2,0
US,22,2,4.1,3.1,2.6,3.4,3.6,0.6278958531333549,-0.23849703517956358,0.06632283479667013,1.3118876502444645,1.2589619674513528,1.1251337166695794,-1.0056845212963879,0,1,1
US,25,1,3.4,3.6,4.0,3.6,2.8,-0.15378948010527466,0.44732727206704676,0.3905403590490749,-1.5716683186947633,-0.957464323612165,-0.7944811476578654,1.314746465957074,1,0,2
US,20,2,4.0,2.0,4.6,4.1,3.1,1.1001032137508258,-1.3531799564891789,-1.4352168278244757,1.6873114614558076,-0.42449534461325755,1.2121004850829098,2.1579794250228677,1,1,1
GB,15,2,3.1,1.9,1.8,2.9,3.1,-1.3970501150782257,-1.8913899437053394,-0.6979700811412797,1.8414811104326827,0.19781605743873323,-1.026923719143877,-1.9067150284422447,0,2,0
US,46,2,3.8,4.1,2.7,3.3,3.3,0.1306998826358105,0.9602873009658812,1.06048643999703,-1.0220742360448554,0.5185558544351152,0.060175040708442595,-0.7463117278220165,1,0,2
GB,15,1,3.6,3.4,2.1,3.7,2.7,-0.4170147250800613,0.23522868937360156,0.13639106893771452,-1.5274174862478684,-1.273412072623353,-0.22840036939552327,-0.5739758153666521,1,0,2
US,18,2,4.0,3.6,2.8,4.2,2.9,0.5162265198135512,0.6547644060843771,-0.024333908985585795,-1.3075798531879066,-1.004531559131304,0.7187576083569095,0.4566089970432877,1,0,2
US,42,1,3.9,2.0,2.1,2.9,3.2,0.11261883952510943,-1.7680542245238393,-0.6054682917551546,1.9513999269626643,0.4619045229455899,0.9598940257471137,-1.661565627018038,0,1,1
US,27,2,3.5,4.1,2.1,3.9,3.5,-0.5935592466151185,1.1677244349832114,0.6456121719623693,-0.49389730503114204,0.7355770844228331,-0.6964443372989443,-1.0349238542353323,0,2,0
US,17,1,4.2,4.6,4.6,2.2,2.2,1.45319225682094,1.196664484508276,2.283598211657866,-4.697895601504651,-1.8159651475926468,0.9148312290747516,1.2288076375875159,1,0,2
US,17,2,3.5,4.0,3.5,4.1,3.9,-0.13943292910834937,1.1135344271408218,0.4148189598980247,0.7166262059731581,1.6882123794415937,-0.6656104075035694,0.33478865719344586,0,2,0
US,17,2,3.4,3.3,2.3,3.3,3.5,-0.705228579934923,-0.02639845248611894,0.3204721249080301,0.739459886783858,1.0467327854488286,-0.7019793582717403,-1.3372660618944827,0,2,0
US,60,2,4.1,4.6,4.8,3.6,3.6,1.341522923501135,1.6806844638820464,1.3155582529103247,-1.0006570844086604,1.1552434004426875,0.6626247697389545,1.5459366582773213,1,0,2
CA,27,2,3.8,3.1,2.1,4.6,3.2,-0.06392568200994775,0.17637723285509702,-0.7634257012726511,0.2555337882170387,-0.41970329662806377,0.3685143386621926,-0.19221926106194837,1,1,1
US,19,2,3.8,3.7,4.1,3.7,3.5,0.5848262001425796,0.605235846918102,0.41389643709608986,0.12278129087635725,0.8392956514314981,0.18351075988994248,0.9547181412586507,1,0,2
US,20,1,3.5,2.9,1.6,2.5,3.0,-0.7557472171532504,-0.7963241745685594,0.503630658076411,0.03569615515707564,0.14116472594920687,-0.32643717975444425,-2.389467672869914,0,2,0
IN,19,1,4.2,4.5,4.0,3.9,2.6,1.2585666921751821,1.661067311709212,1.0156193295068698,-3.487372090500351,-1.641219105138875,0.9456651588701264,1.7324959627828505,1,0,2
US,26,2,3.8,1.9,1.0,3.5,3.6,-0.42073921719383783,-1.6839528096880092,-1.1128443491759403,3.161923437966965,1.2071026839470202,0.7385214962066927,-2.649257401195907,0,1,1
MX,24,1,3.7,2.4,2.8,3.1,3.5,-0.01340704479161963,-1.205565636458729,-0.373752556888875,2.126986727575733,1.1504513524574937,0.33214538789402276,-0.969503771781818,0,1,1
US,19,2,3.4,3.3,1.8,3.5,3.5,-0.8674165504730549,0.04274725885299123,0.18218070222980975,0.739459886783858,0.9430142184401633,-0.7019793582717403,-1.7050283520071463,0,2,0
GB,18,2,3.6,1.8,2.5,3.0,3.6,-0.28726434864955586,-1.9801528072172843,-0.8596175818665147,3.31609308694384,1.466399101468683,0.26494250733047686,-1.4595383916840265,0,1,1
US,14,2,3.6,2.5,3.1,3.0,3.3,-0.0926387840037976,-1.1168027729467842,-0.21210505616363973,1.4446401475851447,0.6741337049481129,0.04910499876285179,-0.5731068905753277,0,1,1
