representation,method,k,silhouette,davies_bouldin,calinski_harabasz
big5_only,kmeans,2,0.1875240320231493,1.8719069052058703,4963.073550379014
big5_only,kmeans,3,0.1677510215424951,1.8967201378968384,3948.124588603118
big5_only,kmeans,4,0.1486671209178075,1.773315591981341,3626.7535476804355
big5_only,kmeans,5,0.15141166430181602,1.6377345016716571,3432.5433564422283
big5_only,kmeans,6,0.1499112887034994,1.5825007410797571,3207.038766965378
big5_only,kmeans,7,0.14942160535848217,1.4778083929259502,3024.7155439427374
big5_only,kmeans,8,0.14868397563881047,1.4952644475803734,2872.223337005361
big5_only,gmm_full,2,0.14592008153033004,2.231990046237283,3492.208083619586
big5_only,gmm_diag,2,0.16860080664928506,1.8660223920405354,4400.946020178621
big5_only,gmm_full,3,0.11618900279198426,2.228643117603252,2494.095428766774
big5_only,gmm_diag,3,0.11598177723282763,2.0573043644794864,2869.6301216676065
big5_only,gmm_full,4,0.07894661730353536,2.4621865714913387,1880.7328601638467
big5_only,gmm_diag,4,0.1137083786551539,2.077177573226529,2258.674215053952
big5_only,gmm_full,5,0.08491320342144523,2.18656669682831,2029.096389658584
big5_only,gmm_diag,5,0.10379043987196071,2.195742931216821,2125.511129685967
big5_only,gmm_full,6,0.08039604176574751,2.2559694809427513,1743.2831272676578
big5_only,gmm_diag,6,0.090049284728747,2.1520968950663923,2024.7102695056853
big5_only,gmm_full,7,0.06204778982934209,2.3909921624798725,1662.284351994347
big5_only,gmm_diag,7,0.09254671489225896,1.8510335720304198,2124.1474283944926
big5_only,gmm_full,8,0.06089314460218257,2.468114668285786,1599.0606253147316
big5_only,gmm_diag,8,0.046300258860375754,2.1858185702291646,1670.6187899695533
big5_plus_engineered,kmeans,2,0.19999838727465705,1.754084889017136,5577.998825917681
big5_plus_engineered,kmeans,3,0.185717969064261,1.5976481550216246,5114.6262697479
big5_plus_engineered,kmeans,4,0.17950245399219758,1.5685189403393696,4522.36646667557
big5_plus_engineered,kmeans,5,0.1699632389985652,1.5067396766409675,4139.167335027705
big5_plus_engineered,kmeans,6,0.15919191422034576,1.5672024112270886,3810.7977424943037
big5_plus_engineered,kmeans,7,0.1579880141687211,1.47820398269015,3607.0433300840014
big5_plus_engineered,kmeans,8,0.16134031351922376,1.424567722722907,3384.3514152411817
big5_plus_engineered,gmm_full,2,0.13368345082413033,2.3101786925330705,3227.574679552572
big5_plus_engineered,gmm_diag,2,0.1879956827627558,1.8798802247096429,4870.083158557613
big5_plus_engineered,gmm_full,3,0.11330554540889443,2.31321836689828,2297.6310931392636
big5_plus_engineered,gmm_diag,3,0.1751468870662944,1.637913716180014,4786.717133129977
big5_plus_engineered,gmm_full,4,0.06618493610020226,2.5640540120103408,1792.6203911837679
big5_plus_engineered,gmm_diag,4,0.11716206829419151,2.2825326326053483,3477.2549497248297
big5_plus_engineered,gmm_full,5,0.0631064794446096,2.420070486076189,1838.490630878893
big5_plus_engineered,gmm_diag,5,0.10179670653347968,1.858254606330961,3441.140276460078
big5_plus_engineered,gmm_full,6,0.0668863456123428,2.263875472168134,1690.0618939694518
big5_plus_engineered,gmm_diag,6,0.11842889056569272,1.7031768250419022,3352.852068926619
big5_plus_engineered,gmm_full,7,0.03995759815925778,2.5391942925639888,1548.8917492122887
big5_plus_engineered,gmm_diag,7,0.11266312822044848,1.7914439124472676,3017.987378152689
big5_plus_engineered,gmm_full,8,0.049058461933393194,2.519908562479019,1591.9643834077776
big5_plus_engineered,gmm_diag,8,0.11062061788920592,1.7153933110524109,2952.0136463776385
